customer_id,product_id,profit,recency,R_Score,F_Score,M_Score,R_M_F_Value,Customer Title,Customer_Title
1,11,3018.0899999999992,7,4,4,3,443,Platinum,Platinum
2,3,2226.26,128,1,1,2,112,Bronze,Bronze
9,6,2353.1099999999997,78,2,3,2,232,Silver,Silver
12,7,3540.0299999999997,67,2,3,3,233,Silver,Silver
13,7,4337.38,27,3,3,4,334,Gold,Gold
14,3,1713.9,47,2,1,1,211,Bronze,Bronze
15,6,1728.39,35,3,3,1,331,Gold,Gold
19,2,1736.45,280,1,1,1,111,Bronze,Bronze
20,4,3608.2799999999997,31,3,1,3,313,Gold,Gold
21,5,4229.41,6,4,2,4,424,Platinum,Platinum
24,7,3689.35,17,4,3,3,433,Platinum,Platinum
25,12,5333.660000000001,5,4,4,4,444,Platinum,Platinum
26,2,268.2399999999999,259,1,1,1,111,Bronze,Bronze
27,7,3274.250000000001,143,1,3,3,133,Bronze,Bronze
28,6,3366.5600000000004,83,2,3,3,233,Silver,Silver
29,9,6175.299999999999,22,3,4,4,344,Gold,Gold
31,4,426.10999999999996,89,1,1,1,111,Bronze,Bronze
32,7,2823.12,138,1,3,3,133,Bronze,Bronze
35,4,3706.5099999999998,92,1,1,3,113,Bronze,Bronze
37,9,6338.490000000001,7,4,4,4,444,Platinum,Platinum
38,4,2025.34,50,2,1,2,212,Silver,Silver
39,12,6085.17,34,3,4,4,344,Gold,Gold
40,5,3272.7000000000003,14,4,2,3,423,Platinum,Platinum
41,9,4698.89,29,3,4,4,344,Gold,Gold
42,4,427.04,111,1,1,1,111,Bronze,Bronze
43,9,3619.9500000000003,61,2,4,3,243,Silver,Silver
44,7,4768.28,35,3,3,4,334,Gold,Gold
45,3,1048.1499999999999,43,3,1,1,311,Silver,Silver
47,7,4332.1900000000005,35,3,3,4,334,Gold,Gold
50,7,4153.41,26,3,3,4,334,Gold,Gold
51,8,4855.4,55,2,4,4,244,Silver,Silver
53,5,2950.07,7,4,2,3,423,Platinum,Platinum
54,7,4098.21,67,2,3,3,233,Silver,Silver
55,8,3220.86,46,2,4,3,243,Silver,Silver
56,7,1275.2399999999998,2,4,3,1,431,Platinum,Platinum
58,8,3501.37,20,3,4,3,343,Gold,Gold
61,6,4254.240000000001,47,2,3,4,234,Silver,Silver
63,3,2190.05,68,2,1,2,212,Silver,Silver
64,5,546.6799999999997,3,4,2,1,421,Platinum,Platinum
65,5,3799.9699999999993,136,1,2,3,123,Bronze,Bronze
66,5,4549.200000000001,43,3,2,4,324,Gold,Gold
70,5,2736.9,4,4,2,2,422,Platinum,Platinum
71,1,155.6500000000001,131,1,1,1,111,Bronze,Bronze
72,4,2559.7799999999997,22,3,1,2,312,Gold,Gold
75,8,4979.94,60,2,4,4,244,Silver,Silver
76,8,2868.16,1,4,4,3,443,Platinum,Platinum
77,3,1657.5800000000002,101,1,1,1,111,Bronze,Bronze
78,2,82.25999999999999,211,1,1,1,111,Bronze,Bronze
79,5,1860.29,47,2,2,2,222,Silver,Silver
80,10,5988.86,28,3,4,4,344,Gold,Gold
82,5,2924.37,78,2,2,3,223,Silver,Silver
83,6,1798.1999999999998,80,2,3,2,232,Silver,Silver
86,9,2360.09,0,4,4,2,442,Platinum,Platinum
87,9,3740.7599999999998,18,4,4,3,443,Platinum,Platinum
88,6,2534.3300000000004,74,2,3,2,232,Silver,Silver
89,9,5779.65,4,4,4,4,444,Platinum,Platinum
90,7,2990.73,30,3,3,3,333,Gold,Gold
91,8,5242.410000000001,9,4,4,4,444,Platinum,Platinum
92,3,2967.4399999999996,34,3,1,3,313,Gold,Gold
93,3,2976.4099999999994,79,2,1,3,213,Silver,Silver
94,7,4902.21,33,3,3,4,334,Gold,Gold
95,4,3050.8099999999995,38,3,1,3,313,Gold,Gold
96,3,1135.25,70,2,1,1,211,Bronze,Bronze
97,8,4911.209999999999,102,1,4,4,144,Bronze,Bronze
99,9,4557.65,2,4,4,4,444,Platinum,Platinum
100,2,877.4,11,4,1,1,411,Gold,Gold
101,4,2589.89,8,4,1,2,412,Platinum,Platinum
102,7,2587.01,42,3,3,2,332,Gold,Gold
103,4,895.4499999999999,116,1,1,1,111,Bronze,Bronze
104,7,3112.8000000000006,64,2,3,3,233,Silver,Silver
105,4,3475.04,89,1,1,3,113,Bronze,Bronze
107,4,2343.9700000000003,81,2,1,2,212,Silver,Silver
112,6,5742.1900000000005,47,2,3,4,234,Silver,Silver
114,4,2195.2599999999998,70,2,1,2,212,Silver,Silver
116,8,2447.54,12,4,4,2,442,Platinum,Platinum
117,10,6917.34,5,4,4,4,444,Platinum,Platinum
120,2,869.3200000000003,129,1,1,1,111,Bronze,Bronze
121,4,2892.09,111,1,1,3,113,Bronze,Bronze
122,5,2695.2200000000003,8,4,2,2,422,Platinum,Platinum
123,4,3245.75,191,1,1,3,113,Bronze,Bronze
124,7,4054.2499999999995,2,4,3,3,433,Platinum,Platinum
125,10,3345.01,83,2,4,3,243,Silver,Silver
126,3,1096.46,11,4,1,1,411,Gold,Gold
127,10,3993.710000000001,23,3,4,3,343,Gold,Gold
128,4,2193.0600000000004,137,1,1,2,112,Bronze,Bronze
129,4,2753.7499999999995,178,1,1,2,112,Bronze,Bronze
130,2,1779.58,76,2,1,1,211,Bronze,Bronze
131,6,5494.910000000001,205,1,3,4,134,Bronze,Bronze
132,6,2780.7200000000003,7,4,3,2,432,Platinum,Platinum
133,5,803.89,26,3,2,1,321,Gold,Gold
134,6,2946.42,14,4,3,3,433,Platinum,Platinum
135,7,4549.5,115,1,3,4,134,Bronze,Bronze
136,8,3543.2,20,3,4,3,343,Gold,Gold
137,5,1496.4499999999998,27,3,2,1,321,Gold,Gold
138,7,3377.12,64,2,3,3,233,Silver,Silver
140,6,2699.8999999999996,3,4,3,2,432,Platinum,Platinum
141,3,2138.3500000000004,159,1,1,2,112,Bronze,Bronze
142,11,3917.3399999999992,4,4,4,3,443,Platinum,Platinum
143,4,2474.77,13,4,1,2,412,Platinum,Platinum
145,7,3140.3,28,3,3,3,333,Gold,Gold
146,2,217.05999999999995,194,1,1,1,111,Bronze,Bronze
147,6,5034.16,34,3,3,4,334,Gold,Gold
149,4,1680.6599999999999,18,4,1,1,411,Gold,Gold
150,4,2446.51,75,2,1,2,212,Silver,Silver
151,7,5665.410000000001,0,4,3,4,434,Platinum,Platinum
152,2,1966.88,158,1,1,2,112,Bronze,Bronze
153,7,5522.51,64,2,3,4,234,Silver,Silver
155,3,1088.42,8,4,1,1,411,Gold,Gold
156,5,3095.3699999999994,16,4,2,3,423,Platinum,Platinum
157,3,294.0099999999999,135,1,1,1,111,Bronze,Bronze
159,6,2935.3700000000003,66,2,3,3,233,Silver,Silver
160,2,2614.1600000000003,93,1,1,2,112,Bronze,Bronze
162,3,1329.61,98,1,1,1,111,Bronze,Bronze
163,2,1101.28,114,1,1,1,111,Bronze,Bronze
164,3,786.1400000000001,198,1,1,1,111,Bronze,Bronze
165,8,6107.040000000001,8,4,4,4,444,Platinum,Platinum
166,7,4063.6599999999994,63,2,3,3,233,Silver,Silver
169,3,696.26,61,2,1,1,211,Bronze,Bronze
170,3,1779.68,234,1,1,1,111,Bronze,Bronze
171,8,4833.139999999999,18,4,4,4,444,Platinum,Platinum
172,7,2348.66,11,4,3,2,432,Platinum,Platinum
173,9,6549.509999999999,15,4,4,4,444,Platinum,Platinum
174,10,7628.24,11,4,4,4,444,Platinum,Platinum
175,5,2170.54,64,2,2,2,222,Silver,Silver
176,4,3025.5600000000004,22,3,1,3,313,Gold,Gold
177,12,4108.6,37,3,4,4,344,Gold,Gold
179,3,1814.59,40,3,1,2,312,Gold,Gold
180,7,4065.3500000000004,11,4,3,3,433,Platinum,Platinum
181,5,2365.2400000000002,50,2,2,2,222,Silver,Silver
182,7,5409.120000000001,13,4,3,4,434,Platinum,Platinum
183,6,3187.8399999999997,102,1,3,3,133,Bronze,Bronze
184,3,2181.3500000000004,32,3,1,2,312,Gold,Gold
186,6,2166.17,23,3,3,2,332,Gold,Gold
188,6,2658.87,15,4,3,2,432,Platinum,Platinum
189,5,5329.98,3,4,2,4,424,Platinum,Platinum
190,4,704.2800000000002,29,3,1,1,311,Silver,Silver
192,4,1519.4700000000003,79,2,1,1,211,Bronze,Bronze
193,5,2551.5,24,3,2,2,322,Gold,Gold
194,3,2608.28,108,1,1,2,112,Bronze,Bronze
195,7,9633.409999999998,0,4,3,4,434,Platinum,Platinum
196,8,3737.9999999999995,146,1,4,3,143,Bronze,Bronze
199,4,2650.53,15,4,1,2,412,Platinum,Platinum
200,9,7283.86,7,4,4,4,444,Platinum,Platinum
201,8,4369.02,28,3,4,4,344,Gold,Gold
202,3,1295.9100000000003,18,4,1,1,411,Gold,Gold
203,5,1481.12,11,4,2,1,421,Platinum,Platinum
204,8,6287.290000000001,27,3,4,4,344,Gold,Gold
205,9,2008.2699999999995,52,2,4,2,242,Silver,Silver
208,5,3342.02,27,3,2,3,323,Gold,Gold
210,6,2957.0299999999997,22,3,3,3,333,Gold,Gold
212,2,1790.41,187,1,1,1,111,Bronze,Bronze
213,10,7534.4800000000005,28,3,4,4,344,Gold,Gold
214,5,1595.7299999999998,56,2,2,1,221,Silver,Silver
215,8,3889.3900000000003,3,4,4,3,443,Platinum,Platinum
216,4,2152.05,16,4,1,2,412,Platinum,Platinum
218,4,1476.17,14,4,1,1,411,Gold,Gold
219,6,1688.33,40,3,3,1,331,Gold,Gold
220,6,4304.11,15,4,3,4,434,Platinum,Platinum
221,6,3865.6800000000007,18,4,3,3,433,Platinum,Platinum
222,2,1428.06,20,3,1,1,311,Silver,Silver
224,6,3692.0900000000006,1,4,3,3,433,Platinum,Platinum
225,3,1587.5500000000002,37,3,1,1,311,Silver,Silver
226,2,1173.8600000000001,116,1,1,1,111,Bronze,Bronze
227,5,3906.03,26,3,2,3,323,Gold,Gold
228,5,3719.75,77,2,2,3,223,Silver,Silver
230,11,5319.630000000001,36,3,4,4,344,Gold,Gold
231,4,2344.5200000000004,45,2,1,2,212,Silver,Silver
232,6,3157.5899999999997,141,1,3,3,133,Bronze,Bronze
233,6,2187.0899999999997,17,4,3,2,432,Platinum,Platinum
234,9,5763.129999999999,11,4,4,4,444,Platinum,Platinum
235,11,4685.820000000001,2,4,4,4,444,Platinum,Platinum
236,4,2434.64,6,4,1,2,412,Platinum,Platinum
237,8,3635.04,26,3,4,3,343,Gold,Gold
239,9,5928.23,1,4,4,4,444,Platinum,Platinum
240,6,2338.2099999999996,88,1,3,2,132,Bronze,Bronze
241,4,1922.8199999999997,47,2,1,2,212,Silver,Silver
242,7,2558.7,131,1,3,2,132,Bronze,Bronze
243,5,2193.55,74,2,2,2,222,Silver,Silver
245,5,2213.0199999999995,12,4,2,2,422,Platinum,Platinum
246,9,3174.16,27,3,4,3,343,Gold,Gold
247,7,4913.16,112,1,3,4,134,Bronze,Bronze
248,7,3193.3199999999997,134,1,3,3,133,Bronze,Bronze
249,9,2236.13,47,2,4,2,242,Silver,Silver
252,5,2597.6400000000003,62,2,2,2,222,Silver,Silver
253,5,1191.29,17,4,2,1,421,Platinum,Platinum
254,7,6780.95,41,3,3,4,334,Gold,Gold
